entity_id,nucleus,label,sublabel,lens_id,translator_version
criterion:9158,criterion:9158,"Lumière, le cinéma!: A Conversation with Thierry Frémaux",David Schwartz · 2026-05-19,web_declaration_v1,1.0.0
criterion:9161,criterion:9161,Fresh Kill: Fluid Transmission,Mindy Seu · 2026-05-19,web_declaration_v1,1.0.0
criterion:9160,criterion:9160,Body Heat: The Trap You Set for Yourself,Megan Abbott · 2026-05-19,web_declaration_v1,1.0.0
criterion:9155,criterion:9155,The Criterion Channel’s June 2026 Lineup,Criterion Collection · 2026-05-14,web_declaration_v1,1.0.0
criterion:9154,criterion:9154,The Delta: Across the Lines,Michael Koresky · 2026-05-12,web_declaration_v1,1.0.0
criterion:9143,criterion:9143,The Defiant Ironies of Rainer Werner Fassbinder’s The Third Generation,Michael Atkinson · 2026-04-29,web_declaration_v1,1.0.0
criterion:9142,criterion:9142,John Singleton’s Hood Trilogy: Born and Raised in South Central,Julian Kimble · 2026-04-28,web_declaration_v1,1.0.0
criterion:9140,criterion:9140,Kinuyo Tanaka Directs: Married to Cinema,Imogen Sara Smith · 2026-04-28,web_declaration_v1,1.0.0
criterion:9137,criterion:9137,Far from Home: Three Noirs by Jacques Tourneur,Imogen Sara Smith · 2026-04-27,web_declaration_v1,1.0.0
criterion:9130,criterion:9130,On Restoration and Repair: A Conversation with Ja’Tovia Gary,Beandrea July · 2026-04-22,web_declaration_v1,1.0.0
criterion:9121,criterion:9121,"Next Stop: The Criterion Mobile Closet in Portland, Oregon",Criterion Collection · 2026-04-21,web_declaration_v1,1.0.0
criterion:9132,criterion:9132,Point Blank: A Dream of Full-Color Noir,Geoff Dyer · 2026-04-21,web_declaration_v1,1.0.0
criterion:9129,criterion:9129,Sinister Synergies,Max Read · 2026-04-17,web_declaration_v1,1.0.0
criterion:9126,criterion:9126,The Criterion Channel’s May 2026 Lineup,Criterion Collection · 2026-04-16,web_declaration_v1,1.0.0
criterion:9123,criterion:9123,Trouble in Paradise: Pure Style,Farran Smith Nehme · 2026-04-14,web_declaration_v1,1.0.0
criterion:9124,criterion:9124,Monty Python’s Life of Brian: The Wrong Messiah,Bilge Ebiri · 2026-04-14,web_declaration_v1,1.0.0
criterion:9111,criterion:9111,The Blade: Cutting Deep,Lisa Morton · 2026-03-31,web_declaration_v1,1.0.0
criterion:9106,criterion:9106,A Man and a Woman: Modern Lovers,Carrie Rickey · 2026-03-31,web_declaration_v1,1.0.0
criterion:9098,criterion:9098,To Become the Sky: A Conversation with Jess X. Snow,Robin D. G. Kelley · 2026-03-30,web_declaration_v1,1.0.0
criterion:9105,criterion:9105,The Rolling Stones on the Brink of Superstardom,Vadim Rizov · 2026-03-27,web_declaration_v1,1.0.0
