entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
criterion:9158,what,title,"Lumière, le cinéma!: A Conversation with Thierry Frémaux","WHAT|title|Lumière, le cinéma!: A Conversation with Thierry Frémaux",web_declaration_v1,1.0.0
criterion:9158,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9158,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9161,what,title,Fresh Kill: Fluid Transmission,WHAT|title|Fresh Kill: Fluid Transmission,web_declaration_v1,1.0.0
criterion:9161,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9161,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9160,what,title,Body Heat: The Trap You Set for Yourself,WHAT|title|Body Heat: The Trap You Set for Yourself,web_declaration_v1,1.0.0
criterion:9160,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9160,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9155,what,title,The Criterion Channel’s June 2026 Lineup,WHAT|title|The Criterion Channel’s June 2026 Lineup,web_declaration_v1,1.0.0
criterion:9155,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9155,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9154,what,title,The Delta: Across the Lines,WHAT|title|The Delta: Across the Lines,web_declaration_v1,1.0.0
criterion:9154,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9154,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9143,what,title,The Defiant Ironies of Rainer Werner Fassbinder’s The Third Generation,WHAT|title|The Defiant Ironies of Rainer Werner Fassbinder’s The Third Generation,web_declaration_v1,1.0.0
criterion:9143,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9143,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9142,what,title,John Singleton’s Hood Trilogy: Born and Raised in South Central,WHAT|title|John Singleton’s Hood Trilogy: Born and Raised in South Central,web_declaration_v1,1.0.0
criterion:9142,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9142,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9140,what,title,Kinuyo Tanaka Directs: Married to Cinema,WHAT|title|Kinuyo Tanaka Directs: Married to Cinema,web_declaration_v1,1.0.0
criterion:9140,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9140,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9137,what,title,Far from Home: Three Noirs by Jacques Tourneur,WHAT|title|Far from Home: Three Noirs by Jacques Tourneur,web_declaration_v1,1.0.0
criterion:9137,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9137,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9130,what,title,On Restoration and Repair: A Conversation with Ja’Tovia Gary,WHAT|title|On Restoration and Repair: A Conversation with Ja’Tovia Gary,web_declaration_v1,1.0.0
criterion:9130,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9130,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9121,what,title,"Next Stop: The Criterion Mobile Closet in Portland, Oregon","WHAT|title|Next Stop: The Criterion Mobile Closet in Portland, Oregon",web_declaration_v1,1.0.0
criterion:9121,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9121,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9132,what,title,Point Blank: A Dream of Full-Color Noir,WHAT|title|Point Blank: A Dream of Full-Color Noir,web_declaration_v1,1.0.0
criterion:9132,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9132,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9129,what,title,Sinister Synergies,WHAT|title|Sinister Synergies,web_declaration_v1,1.0.0
criterion:9129,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9129,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9126,what,title,The Criterion Channel’s May 2026 Lineup,WHAT|title|The Criterion Channel’s May 2026 Lineup,web_declaration_v1,1.0.0
criterion:9126,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9126,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9123,what,title,Trouble in Paradise: Pure Style,WHAT|title|Trouble in Paradise: Pure Style,web_declaration_v1,1.0.0
criterion:9123,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9123,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9124,what,title,Monty Python’s Life of Brian: The Wrong Messiah,WHAT|title|Monty Python’s Life of Brian: The Wrong Messiah,web_declaration_v1,1.0.0
criterion:9124,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9124,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
criterion:9111,what,title,The Blade: Cutting Deep,WHAT|title|The Blade: Cutting Deep,web_declaration_v1,1.0.0
criterion:9111,what,type,Essay,WHAT|type|Essay,web_declaration_v1,1.0.0
criterion:9111,what,feed,current,WHAT|feed|current,web_declaration_v1,1.0.0
